work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior-Level,Full-Time,Principal Data Scientist,80000,EUR,85847,ES,100,ES,Large
2023,Mid-Level,Contract,ML Engineer,30000,USD,30000,US,100,US,Small
2023,Mid-Level,Contract,ML Engineer,25500,USD,25500,US,100,US,Small
2023,Senior-Level,Full-Time,Data Scientist,175000,USD,175000,CA,100,CA,Medium
2023,Senior-Level,Full-Time,Data Scientist,120000,USD,120000,CA,100,CA,Medium
2023,Senior-Level,Full-Time,Applied Scientist,222200,USD,222200,US,0,US,Large
2023,Senior-Level,Full-Time,Applied Scientist,136000,USD,136000,US,0,US,Large
2023,Senior-Level,Full-Time,Data Scientist,219000,USD,219000,CA,0,CA,Medium
2023,Senior-Level,Full-Time,Data Scientist,141000,USD,141000,CA,0,CA,Medium
2023,Senior-Level,Full-Time,Data Scientist,147100,USD,147100,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Scientist,90700,USD,90700,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Analyst,130000,USD,130000,US,100,US,Medium
2023,Senior-Level,Full-Time,Data Analyst,100000,USD,100000,US,100,US,Medium
2023,Entry-Level,Full-Time,Applied Scientist,213660,USD,213660,US,0,US,Large
2023,Entry-Level,Full-Time,Applied Scientist,130760,USD,130760,US,0,US,Large
2023,Senior-Level,Full-Time,Data Modeler,147100,USD,147100,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Modeler,90700,USD,90700,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Scientist,170000,USD,170000,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Scientist,150000,USD,150000,US,0,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,150000,USD,150000,US,100,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,110000,USD,110000,US,100,US,Medium
2023,Senior-Level,Full-Time,Research Engineer,275000,USD,275000,DE,0,DE,Medium
2023,Senior-Level,Full-Time,Research Engineer,174000,USD,174000,DE,0,DE,Medium
2023,Senior-Level,Full-Time,Analytics Engineer,230000,USD,230000,GB,100,GB,Medium
2023,Senior-Level,Full-Time,Analytics Engineer,143200,USD,143200,GB,100,GB,Medium
2023,Senior-Level,Full-Time,Business Intelligence Engineer,225000,USD,225000,US,0,US,Medium
2023,Senior-Level,Full-Time,Business Intelligence Engineer,156400,USD,156400,US,0,US,Medium
2023,Senior-Level,Full-Time,Machine Learning Engineer,200000,USD,200000,US,0,US,Medium
2023,Senior-Level,Full-Time,Machine Learning Engineer,130000,USD,130000,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Strategist,90000,USD,90000,CA,0,CA,Medium
2023,Senior-Level,Full-Time,Data Strategist,72000,USD,72000,CA,0,CA,Medium
2023,Senior-Level,Full-Time,Data Engineer,253200,USD,253200,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Engineer,90700,USD,90700,US,0,US,Medium
2023,Senior-Level,Full-Time,Computer Vision Engineer,342810,USD,342810,US,0,US,Medium
2023,Senior-Level,Full-Time,Computer Vision Engineer,184590,USD,184590,US,0,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,162500,USD,162500,US,0,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,130000,USD,130000,US,0,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,105380,USD,105380,US,0,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,64500,USD,64500,US,0,US,Medium
2023,Entry-Level,Full-Time,Data Quality Analyst,100000,USD,100000,NG,100,NG,Large
2023,Entry-Level,Full-Time,Compliance Data Analyst,30000,USD,30000,NG,100,NG,Large
2022,Mid-Level,Full-Time,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,Large
2023,Entry-Level,Full-Time,Applied Scientist,204620,USD,204620,US,0,US,Large
2023,Entry-Level,Full-Time,Applied Scientist,110680,USD,110680,US,0,US,Large
2023,Senior-Level,Full-Time,Data Engineer,270703,USD,270703,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Engineer,221484,USD,221484,US,0,US,Medium
2023,Senior-Level,Full-Time,Data Scientist,212750,USD,212750,US,100,US,Medium
2023,Senior-Level,Full-Time,Data Scientist,185000,USD,185000,US,100,US,Medium
